headline,category,authors,date
"Maury Wills, Base-Stealing Shortstop For Dodgers, Dies At 89",SPORTS,"Beth Harris, AP",2022-09-20
‘Beautiful And Sad At The Same Time’: Ukrainian Cultural Festival Takes On A Deeper Meaning This Year,POLITICS,Jonathan Nicholson,2022-09-19
"Las Vegas Aces Win First WNBA Title, Chelsea Gray Named MVP",SPORTS,"Pat Eaton-Robb, AP",2022-09-19
Biden Says Queen's Death Left 'Giant Hole' For Royal Family,POLITICS,"Darlene Superville, AP",2022-09-18
Bill To Help Afghans Who Escaped Taliban Faces Long Odds In The Senate,POLITICS,Hamed Ahmadi and Arthur Delaney,2022-09-16
Mark Meadows Complies With Justice Dept. Subpoena: Report,POLITICS,"ERIC TUCKER, AP",2022-09-15
Democrats Nominate Seth Magaziner In Key Rhode Island House Race,POLITICS,Daniel Marans,2022-09-14
Joe Biden Urges National Unity In Speech On Renewed ‘Cancer Moonshot’,POLITICS,Nick Visser,2022-09-13
Sen. Tim Scott Downplays Electability Concerns Over Struggling Senate GOP Candidates,POLITICS,Marita Vlachou,2022-09-12
Boston Marathon To Make Race More Inclusive For Nonbinary Runners,SPORTS,Sanjana Karanth,2022-09-12
Electability Is On The Ballot In Key Rhode Island House Primary,POLITICS,Daniel Marans,2022-09-12
"In A Nod To JFK, Joe Biden Pushing 'Moonshot' To Fight Cancer",POLITICS,"Zeke Miller and Carla K. Johnson, AP",2022-09-12
"Carlos Alcaraz Wins U.S. Open For 1st Slam Title, Top Ranking",SPORTS,"HOWARD FENDRICH, AP",2022-09-11
"Biden Honors 9/11 Victims, Vows Commitment To Thwart Terror",POLITICS,"COLLEEN LONG and AAMER MADHANI, AP",2022-09-11
"US, Trump Team Propose Names For Arbiter In Mar-A-Lago Probe",POLITICS,"Eric Tucker and Nomaan Merchant, AP",2022-09-10
"Politician's DNA Connected To Las Vegas Journalist’s Murder, Police Say",POLITICS,Sanjana Karanth,2022-09-08
Michigan Supreme Court Revives Abortion Rights Amendment For November's Ballot,POLITICS,Jonathan Cohn,2022-09-08
Portland Residents With Disabilities Sue Over City's Blocked Sidewalks,POLITICS,"Claire Rush, AP",2022-09-08
Baseball Players Union Joins AFL-CIO In Show Of Solidarity With Other Workers,SPORTS,Dave Jamieson,2022-09-07
The Unemployment Insurance System Is Not Ready For The Next Recession,POLITICS,Arthur Delaney,2022-09-07
Michigan Secretary of State Worried About ‘Violence And Disruption’ Going Into Midterms,POLITICS,Nick Visser,2022-09-05
Uvalde Fourth Graders Waited An Hour With Wounded Teacher,POLITICS,"ACACIA CORONADO, AP",2022-09-05
Trump-Endorsed Wisconsin Gubernatorial Candidate Tells Voters To Take Up Pitchforks,POLITICS,"By SCOTT BAUER, AP",2022-09-04
Former White House Counsel Pat Cipollone To Testify Before Grand Jury: Reports,POLITICS,Marita Vlachou,2022-09-02
Rep. Jim Jordan's Judiciary Twitter Account Finds 'Threat' In Pic Of Docs At Trump Home,POLITICS,Ben Blanchet,2022-08-31
Mikhail Gorbachev's 1998 Pizza Hut Ad Resurfaces After His Death,POLITICS,David Moye,2022-08-31
Republicans Ignore Trump's Hoarding Of Classified Documents,POLITICS,Igor Bobic,2022-08-31
‘Fox & Friends’ Host Questions Why Trump Kept Classified Documents At Mar-A-Lago,POLITICS,Sanjana Karanth,2022-08-31
Stocks Dive For Truth Social SPAC Amid Merger Delay,POLITICS,Mary Papenfuss,2022-08-30
Secret Service Official And Ex-Trump Aide Tony Ornato Retires Amid Jan. 6 Probe,POLITICS,Nina Golgowski,2022-08-30
House Members Are Using A Controversial Tool To Keep Campaigning. Has It Gone Too Far?,POLITICS,Jonathan Nicholson,2022-08-29
Lindsey Graham Warns Of 'Riots In Streets' If Trump Is Charged Over Classified Docs,POLITICS,Mary Papenfuss,2022-08-29
Kash Patel Says His Life's In Danger Because He's In FBI Affidavit,POLITICS,Mary Papenfuss,2022-08-28
FBI Probing Russian-Speaking Fake Heiress Who Infiltrated Mar-A-Lago: Report,POLITICS,Mary Papenfuss,2022-08-28
Don Jr. Posts 'Dick Pic' Of Dad After Affidavit Release: 'Redact This!',POLITICS,Mary Papenfuss,2022-08-27
Trump Attorneys File Do-Over Motion Regarding Mar-A-Lago Search,POLITICS,Mary Papenfuss,2022-08-27
Jared Kushner Blasts 'Nasty Troll' Chrissy Teigen For Attacks On Ivanka,POLITICS,Mary Papenfuss,2022-08-27
Mar-A-Lago Search Affidavit: Trump Was Insecurely Storing Most Sensitive Intel At Club,POLITICS,S.V. Date,2022-08-26
"Donald Trump's Truth Social Reportedly Faces Major Money, Trademark Woes",POLITICS,Mary Papenfuss,2022-08-26
Judge Temporarily Blocks North Dakota Trigger Law Banning Abortion,POLITICS,"Dave Kolpack, AP",2022-08-25
REI Workers At Berkeley Store Vote To Unionize In Another Win For Labor,BUSINESS,Dave Jamieson,2022-08-25
Gov. Brian Kemp Fights Subpoena In Georgia Election Probe,POLITICS,"Kate Brumback, AP",2022-08-25
"Dan Goldman, Narrowly Leading In New York Democratic Primary, Declares Victory",POLITICS,Daniel Marans,2022-08-24
Markwayne Mullin Wins Oklahoma Republican Primary To Succeed GOP Sen. Jim Inhofe,POLITICS,Jonathan Nicholson,2022-08-24
Charlie Crist Wins Chance To Take On Florida Gov. Ron DeSantis And His $132 Million,POLITICS,S.V. Date,2022-08-24
IRS Launches Safety Review Amid Threats To Workers Linked To Conspiracy Theories,POLITICS,"FATIMA HUSSEIN, AP",2022-08-24
Student Loan Borrowers Await Biden Plan On Debt Forgiveness,POLITICS,"Seung Min Kim, Michael Balsamo, Chris Megerian and Zeke Miller, AP",2022-08-24
Rusty Bowers Rips 'Fascism' Of GOP And Trump's Strong-Arm Tactics To Trash Vote,POLITICS,Mary Papenfuss,2022-08-23
"After Delay, Biden Readies Student Loan Help, Payment Pause",POLITICS,"Seung Min Kim, Michael Balsamo and Chris Megerian, AP",2022-08-23
This Is The Bittersweet Part Of Democrats' Sweet Legislative Victory,POLITICS,Jonathan Cohn,2022-08-22
"Gas Prices Are Falling, But Global Events Could Cause Increase, Energy Secretary Warns",POLITICS,Marita Vlachou,2022-08-22
"Judge Won't Block Georgia Ban On Bringing Food, Water To Voters In Line",POLITICS,"Kate Brumback, AP",2022-08-20
Mike Pence Says He Did Not Take Classified Documents When He Left Office,POLITICS,"Thomas Beaumont, AP",2022-08-20
Mitch McConnell Gives Downbeat Forecast On GOP Winning Senate,POLITICS,Marita Vlachou,2022-08-19
Vanessa Bryant Says Kobe Bryant Crash Photos Turned Grief To Horror,SPORTS,"Andrew Dalton, AP",2022-08-19
Media To Ask Judge To Release Trump Search Warrant Affidavit,POLITICS,"Terry Spencer, AP",2022-08-18
"Trump Org. CFO To Plead Guilty, Testify Against Company",CRIME,"Michael R. Sisak, AP",2022-08-18
Deshaun Watson Settles With NFL For 11-Game Suspension,SPORTS,"Rob Maadi and Tom Withers, AP",2022-08-18
Talks On Possible Watson Settlement Progress,SPORTS,"Rob Maaddi and Tom Withers, AP",2022-08-17
CDC Director To Overhaul Agency With COVID Shortcomings In Mind,POLITICS,"Mike Stobbe, AP",2022-08-17
Planned Parenthood To Spend Record $50 Million For Midterms,POLITICS,"Brian Slodysko, AP",2022-08-17
NBA Won't Host Election Day Games In Effort To Increase Voter Turnout,POLITICS,Lydia O'Connor,2022-08-16
The Denver Broncos’ Historic Purchase Could Increase Number Of Minority-Owned NFL Teams,SPORTS,Andre Ellington,2022-08-16
Tiger To Meet With Top Players Against LIV Golf,SPORTS,"Doug Ferguson, AP",2022-08-16
"Lindsey Graham Must Testify In Georgia Election Probe, Judge Says",POLITICS,"KATE BRUMBACK, AP",2022-08-15
Sinema Took Wall Street Money While Killing Tax On Investors,POLITICS,"Brian Slodysko, AP",2022-08-13
Video Shows NFL Player Hopping Into Stands To Stop Fighting Fans,SPORTS,Ben Blanchet,2022-08-13
Cleveland Browns QB Deshaun Watson Apologizes ‘To All The Women I Have Impacted’,SPORTS,"Tom Withers, AP",2022-08-12
"Over $2 Billion Announced For Roads, Bridges, Bike Lanes Across U.S.",POLITICS,"Terry Tang and David A. Lieb, AP",2022-08-12
Democrats’ Inflation Reduction Act Expected To Do Little To Reduce Inflation,POLITICS,Jonathan Nicholson,2022-08-12
Officials: NH Missing Girl Case Shifts To Homicide Probe,CRIME,"Holly Ramer, AP",2022-08-11
"As Joe Biden Wins Mount, 2024 Doubts Ease For Top House Dems",POLITICS,Marita Vlachou,2022-08-10
Why The Justice Department Can’t Say More About The Mar-A-Lago Raid,POLITICS,Kevin Robillard,2022-08-09
Judge: 3 Players Who Joined Saudi-Backed Golf Tour Can't Compete In PGA Postseason,SPORTS,"Janie McCauley, AP",2022-08-09
Broncos Make History After Being Sold For Record $4.65 Billion,SPORTS,"Dave Campbell, AP",2022-08-09
Trump Said Wounded Veterans In Military Parades Didn’t 'Look Good' For Him: Book,POLITICS,Elyse Wanshel,2022-08-08
Lindsey Graham Scolded For Senate Outburst At Maggie Hassan,POLITICS,Ron Dicker,2022-08-08
Albuquerque Police Share Photo Of Car Eyed In Slayings Of Muslim Men,CRIME,Nina Golgowski,2022-08-08
"‘Come On, Bernie!’ Why Democrats Left Child Tax Credit Out Of The Inflation Reduction Act",POLITICS,Arthur Delaney,2022-08-08
"57 Votes in the Senate: Enough For Private Equity, Not Enough For Diabetics",POLITICS,Kevin Robillard,2022-08-08
Biden Expresses Solidarity With Muslim Community After Albuquerque Killings,POLITICS,Nina Golgowski,2022-08-07
Albuquerque Police Tell Muslim Community To Be 'Vigilant' Amid Series Of Murders,CRIME,Sara Boboltz,2022-08-06
This Is The Most Underappreciated Part Of The Democratic Prescription Drug Bill,POLITICS,Jonathan Cohn,2022-08-06
GOP Senators Refuse To Rule Out Supporting Donald Trump Again — Even If He's Indicted,POLITICS,Jonathan Nicholson,2022-08-06
CPAC Has A Special Exhibit: A Sobbing Jan. 6 Rioter In Jail,POLITICS,Ryan Grenoble,2022-08-05
"Senate Republicans Fold, Help Pass Veterans Health Bill After Blocking It",POLITICS,Jennifer Bendery,2022-08-02
University of West Georgia Professor Charged With Murder Of Incoming Freshman,CRIME,Elyse Wanshel,2022-08-02
Arizona's Rusty Bowers Comes Out Against A 2024 Trump Bid,POLITICS,Marita Vlachou,2022-08-01
Challenger Suraj Patel’s Poll Shows Tightening Race In Key New York Primary,POLITICS,Daniel Marans,2022-08-01
Vulnerable House Dems See Abortion As Winning Campaign Theme,POLITICS,"Thomas Beaumont, AP",2022-07-31
Ex-DHS Aide Suggests She 'Went Very Public' Because She Didn't Trust Inspector General,POLITICS,Marco Margaritoff,2022-07-30
DHS Watchdog Fails To Notify Congress Over Missing Jan. 6 Texts Of 2 Trump Officials,POLITICS,Marita Vlachou,2022-07-29
Alabama Official Told Reporter Her Skirt Was Too Short To Witness An Execution,POLITICS,Jessica Schulberg,2022-07-29
Democrats' Reconciliation Package The 'Biggest Climate Action In Human History',POLITICS,Chris D'Angelo,2022-07-28
Deputy Kills Unarmed Black Man After Alleged Shoplifting From Houston Dollar General,POLITICS,Phillip Jackson,2022-07-27
GOP Sen. Joni Ernst Blocks Bill Protecting Right To Birth Control,POLITICS,Igor Bobic,2022-07-27
Rep. Marjorie Taylor Greene Is Eligible To Run For Reelection: Judge,POLITICS,"Kate Brumback, AP",2022-07-26
Jackie Robinson Museum Opens After 14 Years Of Planning,SPORTS,"RONALD BLUM, AP",2022-07-26
"Steve Bannon Calls On '4,000 Shock Troops' To 'Deconstruct' The Government 'Brick By Brick'",POLITICS,Mary Papenfuss,2022-07-26
"Paul Duncan, Former Notre Dame Star And NFL Player, Dead at 35",SPORTS,Elyse Wanshel,2022-07-25
Political Ad Shows Doctor Asking Texas Gov. Greg Abbott If He'll Allow An Abortion,POLITICS,David Moye,2022-07-25
"Biden Improves 'Significantly,' Throat Still Sore From COVID",POLITICS,"CHRIS MEGERIAN, AP",2022-07-24
Josh Hawley's Home State Newspaper Chides Him As 'Laughingstock',POLITICS,Mary Papenfuss,2022-07-24
Kari Lake Walked Away From A Career In Journalism. Now She's Running For Governor By Bashing The Media.,POLITICS,Liz Skalka,2022-07-22
195 House Republicans Voted Against Birth Control Protections,POLITICS,Alanna Vagianos,2022-07-21
"Herschel Walker Is A Messy Candidate, But The Georgia Senate Race Is Still A Toss-Up",POLITICS,Nathalie Baptiste,2022-07-21
Appeals Court Allows Georgia Abortion Law To Take Effect,POLITICS,"KATE BRUMBACK and JEFF AMY, AP",2022-07-20
Biden Takes Modest Executive Action After Climate Agenda Stalls In Congress,POLITICS,Chris D'Angelo,2022-07-20
Twitter Lawyer Calls Elon Musk 'Committed Enemy' As Judge Sets October Trial,BUSINESS,Marita Vlachou,2022-07-20
"Secret Service Can't Recover Jan. 6 Texts, National Archives Wants Probe",POLITICS,Ryan Grenoble,2022-07-19
Jury Selection Begins In Trial Of Ex-Trump Adviser Steve Bannon,POLITICS,"Gary Fields, Ashraf Khalil, AP",2022-07-18
4 Killed After Gunman Opens Fire In Indiana Mall Food Court,POLITICS,"Associated Press, AP",2022-07-18
Republicans Begin To Sour On Aid To Ukraine,POLITICS,Jonathan Nicholson,2022-07-18
Republican Senate Candidate Charged With Making False Child Trafficking Allegations,POLITICS,Marita Vlachou,2022-07-18
Former FDA Commissioner: U.S. Has Probably ‘Failed To Contain’ Monkeypox,POLITICS,Nick Visser,2022-07-18
Ohio Girl's Abortion Doctor Once Targeted In Vicious Kidnapping Threat: Report,POLITICS,Mary Papenfuss,2022-07-17
Trump-Supporting GOP Congressman Faces Election Fraud Accusations,POLITICS,Ben Blanchet,2022-07-17
Senator Ted Cruz Says Supreme Court Was Wrong In Same-Sex Marriage Ruling,POLITICS,Nina Golgowski,2022-07-17
"Charles Barkley: 'If You're Gay Or Transgender, I Love You!'",SPORTS,Hilary Hanson,2022-07-16
Watchdog Says Secret Service Deleted Jan. 6 Text Messages,POLITICS,"FARNOUSH AMIRI, AP",2022-07-15
GOP No Longer Cares About The Deficit If It Means Women Having More Babies,POLITICS,Jonathan Nicholson,2022-07-15
John Fetterman Recruits Snooki To Take Some 'Jersey Shore' Shots At Dr. Oz,POLITICS,Ben Blanchet,2022-07-15
Rep. Marjorie Taylor Greene Says Rep. Alexandria Ocasio-Cortez Should Thank Her Sexual Harasser,POLITICS,Ed Mazza,2022-07-15
Texas Sues Biden Administration For Right To Deny Life-Saving Abortions,POLITICS,Lydia O'Connor,2022-07-14
Trump Tried To Call White House Support Staffer Who Was Talking To Jan. 6 Panel: Report,POLITICS,Nick Visser,2022-07-14
Biden Admin: Pharmacists Cannot Refuse Prescriptions Similar To Medication Abortion,POLITICS,Alanna Vagianos,2022-07-13
"FBI Arrests Baltimore Police Officer For Allegedly Selling Ghost Gun, Drugs",CRIME,Phillip Jackson,2022-07-13
Ex-Trump Adviser Peter Navarro Accuses Mike Pence Of Treason In Bonkers Rant,POLITICS,Ed Mazza,2022-07-12
Mehmet Oz Mocked By Senate Foe John Fetterman With Sassy Plane Banner,POLITICS,Mary Papenfuss,2022-07-11
Novak Djokovic Beats Nick Kyrgios For 7th Wimbledon Title,SPORTS,"Howard Fendrich, AP",2022-07-10
"Steve Bannon Will Testify Before Jan. 6 Committee, Says Rep. Zoe Lofgren",POLITICS,Nina Golgowski,2022-07-10
Trump Now Claims He Won Wisconsin Since State Court Has Restricted Ballot Drop Boxes,POLITICS,Mary Papenfuss,2022-07-09
How A Crowded GOP Field Could Bolster A Trump 2024 Campaign,POLITICS,"Jill Colvin, AP",2022-07-09
Police Swarm Steve Bannon's D.C. Home In Frightening 'Swatting' Attack: Report,POLITICS,Mary Papenfuss,2022-07-09
Political Violence Is The New American Normal,POLITICS,Andy Campbell,2022-07-09
